Site,Date,Secchi depth [m]
Gandria,11.08.2015,9
Gandria,24.08.2015,8.9
Gandria,08.09.2015,6.9
Gandria,21.09.2015,7.2
Gandria,06.10.2015,6.2
Gandria,19.10.2015,6.4
Gandria,03.11.2015,7.5
Gandria,16.11.2015,8.1
Gandria,01.12.2015,7.3
Gandria,14.12.2015,6.8
Gandria,12.01.2016,7.6
Gandria,25.01.2016,7.9
Gandria,02.02.2016,8.3
Gandria,23.02.2016,7.3
Gandria,08.03.2016,8.4
Gandria,21.03.2016,6
Gandria,05.04.2016,6.6
Gandria,18.04.2016,9.55
Gandria,10.05.2016,6.2
Gandria,23.05.2016,4.3
Gandria,07.06.2016,3.2
Gandria,20.06.2016,2.1
Gandria,14.07.2016,2.9
Gandria,25.07.2016,4.55
Gandria,09.08.2016,5.2
Gandria,22.08.2016,5.65
Gandria,06.09.2016,6.7
Gandria,04.10.2016,7.2
Gandria,17.10.2016,7.2
Gandria,08.11.2016,6
Gandria,21.11.2016,5.4
Gandria,05.12.2016,4.95
Gandria,19.12.2016,6
Gandria,10.01.2017,7.05
Gandria,23.01.2017,8.25
Gandria,07.02.2017,9.45
Gandria,20.02.2017,8.7
Gandria,07.03.2017,5.1
Gandria,20.03.2017,3.95
Gandria,04.04.2017,4.5
Gandria,24.04.2017,6.2
Gandria,04.05.2017,7.5
Gandria,22.05.2017,3.5
Gandria,12.06.2017,3.4
Gandria,19.06.2017,3.25
Gandria,11.07.2017,3.2
Gandria,24.07.2017,4.3
Gandria,08.08.2017,2.45
Gandria,21.08.2017,2.45
Gandria,05.09.2017,4.8
Gandria,18.09.2017,7.3
Gandria,03.10.2017,8.9
Gandria,24.10.2017,6.3
Gandria,07.11.2017,10.7
Gandria,21.11.2017,9.2
Gandria,05.12.2017,11.7
Gandria,18.12.2017,12
Gandria,09.01.2018,11.8
Gandria,22.01.2018,13.1
Gandria,06.02.2018,14
Gandria,19.02.2018,11.1
Gandria,06.03.2018,11.8
Gandria,20.03.2018,13
Gandria,10.04.2018,4.5
Gandria,23.04.2018,7.5
Gandria,08.05.2018,11.7
Gandria,22.05.2018,9
Gandria,05.06.2018,8.2
Gandria,18.06.2018,7.6
Gandria,03.07.2018,8.4
Gandria,23.07.2018,7.7
Gandria,07.08.2018,3.8
Gandria,20.08.2018,3
Gandria,04.09.2018,5.4
Gandria,17.09.2018,5.1
Gandria,02.10.2018,6.1
Gandria,15.10.2018,7.3
Gandria,06.11.2018,7.1
Gandria,19.11.2018,8.1
Gandria,04.12.2018,6.7
Gandria,17.12.2018,7.3
Gandria,08.01.2019,11.2
Gandria,22.01.2019,12.4
Gandria,05.02.2019,9.4
Gandria,19.02.2019,6.8
Gandria,12.03.2019,4.6
Gandria,20.03.2019,4.5
Gandria,02.04.2019,4.9
Gandria,16.04.2019,7.3
Gandria,07.05.2019,7.8
Gandria,21.05.2019,8.6
Gandria,04.06.2019,7.8
Gandria,17.06.2019,6
Gandria,02.07.2019,7.5
Gandria,23.07.2019,8.5
Gandria,06.08.2019,8
Gandria,27.08.2019,4.9
Gandria,05.09.2019,9
Gandria,17.09.2019,10.4
Gandria,01.10.2019,10.3
Gandria,15.10.2019,8.4
Gandria,05.11.2019,5.6
Gandria,19.11.2019,6.6
Gandria,03.12.2019,7.1
Gandria,17.12.2019,6.9
Gandria,07.01.2020,5.8
Gandria,22.01.2020,6.5
Gandria,04.02.2020,5.7
Gandria,18.02.2020,5.5
Gandria,03.03.2020,5.7
Gandria,16.03.2020,4.1
Gandria,07.04.2020,4
Gandria,21.04.2020,4.8
Gandria,05.05.2020,5.2
Gandria,18.05.2020,7.2
Gandria,02.06.2020,3.5
Gandria,23.06.2020,2.5
Gandria,07.07.2020,4.5
Gandria,21.07.2020,6.7
Gandria,05.08.2020,5.8
Gandria,18.08.2020,4.3
Gandria,01.09.2020,4.8
Gandria,22.09.2020,4.8
Gandria,06.10.2020,4.4
Gandria,20.10.2020,6.4
Gandria,10.11.2020,5.8
Gandria,17.11.2020,7.4
Gandria,01.12.2020,7.1
Gandria,15.12.2020,7.8
Gandria,12.01.2021,7
Gandria,26.01.2021,9
Gandria,02.02.2021,9.3
Gandria,23.02.2021,7.5
Gandria,09.03.2021,4.8
Gandria,23.03.2021,6.3
Gandria,14.04.2021,4.4
Gandria,27.04.2021,4.4
Gandria,04.05.2021,4.8
Gandria,18.05.2021,8.2
Gandria,08.06.2021,8.4
Gandria,22.06.2021,7.7
Gandria,06.07.2021,9.4
Gandria,20.07.2021,7
Gandria,03.08.2021,6.3
Gandria,17.08.2021,2.3
Gandria,31.08.2021,2.2
Gandria,21.09.2021,
Gandria,05.10.2021,4.3
Gandria,19.10.2021,5.4
Gandria,09.11.2021,5.4
Gandria,23.11.2021,5.5
Gandria,30.11.2021,5.8
Gandria,21.12.2021,6
Gandria,11.01.2022,7.5
Gandria,25.01.2022,8.6
Gandria,08.02.2022,7.4
Gandria,22.02.2022,
Gandria,08.03.2022,5.9
Gandria,22.03.2022,4.1
Gandria,05.04.2022,3.9
Gandria,20.04.2022,3
Gandria,03.05.2022,6.8
Gandria,17.05.2022,9.8
